image_path,label,split
HAM10000_all_images/ISIC_0029913.jpg,6,0
HAM10000_all_images/ISIC_0029206.jpg,2,0
HAM10000_all_images/ISIC_0029154.jpg,4,0
HAM10000_all_images/ISIC_0029429.jpg,4,0
HAM10000_all_images/ISIC_0029372.jpg,1,0
HAM10000_all_images/ISIC_0034026.jpg,1,0
HAM10000_all_images/ISIC_0026716.jpg,1,0
HAM10000_all_images/ISIC_0024851.jpg,2,0
HAM10000_all_images/ISIC_0027683.jpg,4,0
HAM10000_all_images/ISIC_0024562.jpg,0,0
HAM10000_all_images/ISIC_0032557.jpg,5,0
HAM10000_all_images/ISIC_0033860.jpg,3,0
HAM10000_all_images/ISIC_0024582.jpg,1,0
HAM10000_all_images/ISIC_0030725.jpg,4,0
HAM10000_all_images/ISIC_0029891.jpg,3,0
HAM10000_all_images/ISIC_0029651.jpg,6,0
HAM10000_all_images/ISIC_0027613.jpg,3,0
HAM10000_all_images/ISIC_0024973.jpg,3,0
HAM10000_all_images/ISIC_0027057.jpg,1,0
HAM10000_all_images/ISIC_0031381.jpg,0,0
HAM10000_all_images/ISIC_0025791.jpg,6,0
HAM10000_all_images/ISIC_0025411.jpg,0,0
HAM10000_all_images/ISIC_0030427.jpg,3,0
HAM10000_all_images/ISIC_0024906.jpg,4,0
HAM10000_all_images/ISIC_0027522.jpg,5,0
HAM10000_all_images/ISIC_0032486.jpg,2,0
HAM10000_all_images/ISIC_0027745.jpg,3,0
HAM10000_all_images/ISIC_0028303.jpg,1,0
HAM10000_all_images/ISIC_0030507.jpg,6,0
HAM10000_all_images/ISIC_0026163.jpg,5,0
HAM10000_all_images/ISIC_0025297.jpg,2,0
HAM10000_all_images/ISIC_0030542.jpg,2,0
HAM10000_all_images/ISIC_0030782.jpg,1,0
HAM10000_all_images/ISIC_0031753.jpg,2,0
HAM10000_all_images/ISIC_0031457.jpg,3,0
HAM10000_all_images/ISIC_0030045.jpg,4,0
HAM10000_all_images/ISIC_0028880.jpg,3,0
HAM10000_all_images/ISIC_0027257.jpg,4,0
HAM10000_all_images/ISIC_0026989.jpg,6,0
